order_id,product_name
2001,conditioner
2001,body wash
2002,cheese
2002,wine
2002,crackers
2003,mouthwash
2003,toothpaste
2004,chips
2004,soda
2004,salsa
2005,spices
2005,rice
2005,chicken
2006,bread
2006,milk
2007,cheese
2007,sauce
2008,conditioner
2008,shampoo
2009,banana
2009,milk
2010,creamer
2010,sugar
2010,coffee
2011,toothpaste
2011,mouthwash
2011,toothbrush
2012,chicken
2012,rice
2012,spices
2013,body wash
2013,conditioner
2013,shampoo
2014,cheese
2014,sauce
2015,sauce
2015,cheese
2015,pasta
2016,coffee
2016,sugar
2016,creamer
2017,rice
2017,spices
2017,chicken
2018,crackers
2018,cheese
2018,wine
2019,mouthwash
2019,toothpaste
2019,toothbrush
2020,banana
2020,cereal
2021,crackers
2021,cheese
2022,butter
2022,bread
2023,chicken
2023,rice
2024,soda
2024,chips
2025,body wash
2025,shampoo
2025,conditioner
2026,coffee
2026,sugar
2027,toothbrush
2027,toothpaste
2027,mouthwash
2028,milk
2028,banana
2028,cereal
2029,banana
2029,milk
2030,banana
2030,cereal
2030,milk
2031,mouthwash
2031,toothpaste
2032,cheese
2032,pasta
2032,sauce
2033,eggs
2033,orange juice
2034,sauce
2034,pasta
2034,cheese
2035,toothpaste
2035,mouthwash
2035,toothbrush
2036,creamer
2036,sugar
2037,cheese
2037,sauce
2037,pasta
2038,creamer
2038,coffee
2038,sugar
2039,banana
2039,milk
2040,pasta
2040,sauce
2041,toothpaste
2041,toothbrush
2041,mouthwash
2042,cheese
2042,pasta
2042,sauce
2043,crackers
2043,cheese
2044,chicken
2044,spices
2045,sugar
2045,creamer
2046,chips
2046,soda
2047,butter
2047,bread
2048,bread
2048,milk
2048,butter
2049,sauce
2049,pasta
2049,cheese
2050,bread
2050,milk
2051,shampoo
2051,body wash
2051,conditioner
2052,mouthwash
2052,toothpaste
2052,toothbrush
2053,butter
2053,bread
2054,cheese
2054,wine
2054,crackers
2055,body wash
2055,shampoo
2056,orange juice
2056,eggs
2056,bacon
2057,crackers
2057,wine
2058,crackers
2058,cheese
2058,wine
2059,soda
2059,chips
2059,salsa
2060,chips
2060,soda
2060,salsa
2061,pasta
2061,cheese
2061,sauce
2062,bacon
2062,orange juice
2062,eggs
2063,cereal
2063,banana
2064,eggs
2064,bacon
2064,orange juice
2065,soda
2065,chips
2065,salsa
2066,crackers
2066,cheese
2066,wine
2067,soda
2067,salsa
2067,chips
2068,butter
2068,bread
2069,cereal
2069,milk
2070,chicken
2070,spices
2071,eggs
2071,orange juice
2072,banana
2072,milk
2073,cheese
2073,pasta
2073,sauce
2074,banana
2074,cereal
2075,rice
2075,chicken
2075,spices
2076,soda
2076,salsa
2076,chips
2077,cereal
2077,milk
2077,banana
2078,coffee
2078,sugar
2078,creamer
2079,conditioner
2079,shampoo
2080,salsa
2080,chips
2080,soda
2081,salsa
2081,chips
2081,soda
2082,milk
2082,cereal
2083,eggs
2083,orange juice
2084,chicken
2084,rice
2085,chicken
2085,spices
2085,rice
2086,pasta
2086,cheese
2087,shampoo
2087,conditioner
2087,body wash
2088,body wash
2088,conditioner
2089,conditioner
2089,shampoo
2090,cheese
2090,wine
2091,eggs
2091,bacon
2092,mouthwash
2092,toothpaste
2093,mouthwash
2093,toothpaste
2094,cheese
2094,wine
2094,crackers
2095,bacon
2095,eggs
2095,orange juice
2096,soda
2096,chips
2097,cereal
2097,banana
2098,milk
2098,banana
2099,milk
2099,cereal
2100,cheese
2100,pasta
2100,sauce
2101,butter
2101,milk
2101,bread
2102,chips
2102,soda
2102,salsa
2103,sugar
2103,coffee
2103,creamer
2104,rice
2104,spices
2105,bread
2105,milk
2106,salsa
2106,chips
2106,soda
2107,soda
2107,chips
2108,cereal
2108,banana
2109,butter
2109,milk
2109,bread
2110,pasta
2110,sauce
2110,cheese
2111,sugar
2111,creamer
2112,cereal
2112,banana
2113,body wash
2113,shampoo
2113,conditioner
2114,banana
2114,cereal
2114,milk
2115,pasta
2115,cheese
2116,wine
2116,crackers
2116,cheese
2117,bacon
2117,orange juice
2117,eggs
2118,toothpaste
2118,toothbrush
2119,orange juice
2119,eggs
2120,toothbrush
2120,toothpaste
2121,bacon
2121,eggs
2121,orange juice
2122,body wash
2122,conditioner
2122,shampoo
2123,milk
2123,butter
2123,bread
2124,butter
2124,bread
2125,sauce
2125,cheese
2125,pasta
2126,cheese
2126,crackers
2126,wine
2127,pasta
2127,sauce
2128,crackers
2128,cheese
2129,eggs
2129,orange juice
2130,cheese
2130,pasta
2130,sauce
2131,wine
2131,crackers
2132,milk
2132,bread
2132,butter
2133,orange juice
2133,bacon
2134,body wash
2134,conditioner
2134,shampoo
2135,crackers
2135,cheese
2135,wine
2136,creamer
2136,sugar
2137,coffee
2137,creamer
2138,bacon
2138,orange juice
2139,sauce
2139,pasta
2140,soda
2140,salsa
2141,sugar
2141,coffee
2141,creamer
2142,milk
2142,banana
2143,crackers
2143,wine
2144,toothpaste
2144,toothbrush
2145,sugar
2145,coffee
2145,creamer
2146,crackers
2146,cheese
2146,wine
2147,creamer
2147,sugar
2148,chicken
2148,spices
2149,conditioner
2149,shampoo
2150,coffee
2150,creamer
2151,soda
2151,salsa
2151,chips
2152,toothbrush
2152,toothpaste
2153,toothpaste
2153,mouthwash
2153,toothbrush
2154,eggs
2154,orange juice
2154,bacon
2155,sugar
2155,coffee
2156,sauce
2156,cheese
2157,cheese
2157,wine
2158,cheese
2158,sauce
2159,cheese
2159,crackers
2160,crackers
2160,wine
2160,cheese
2161,salsa
2161,chips
2161,soda
2162,wine
2162,crackers
2162,cheese
2163,coffee
2163,creamer
2163,sugar
2164,toothbrush
2164,mouthwash
2164,toothpaste
2165,eggs
2165,bacon
2165,orange juice
2166,sugar
2166,coffee
2167,banana
2167,milk
2168,milk
2168,cereal
2168,banana
2169,cheese
2169,crackers
2169,wine
2170,eggs
2170,bacon
2170,orange juice
2171,eggs
2171,orange juice
2172,eggs
2172,bacon
2172,orange juice
2173,salsa
2173,soda
2173,chips
2174,conditioner
2174,shampoo
2175,coffee
2175,sugar
2175,creamer
2176,milk
2176,butter
2177,orange juice
2177,eggs
2177,bacon
2178,sauce
2178,cheese
2178,pasta
2179,orange juice
2179,eggs
2179,bacon
2180,milk
2180,cereal
2180,banana
2181,milk
2181,cereal
2182,coffee
2182,creamer
2182,sugar
2183,cheese
2183,sauce
2183,pasta
2184,chips
2184,salsa
2185,pasta
2185,cheese
